午後,衛宮邸,外へ,,,冬木市,,
午後,衛宮邸,自室,わくわくざぶーん？&レベル>=3,桜私服,15,衛宮邸・3日目.fcf,
午後,衛宮邸,居間,レベル>=3,美綴私服,16,衛宮邸・3日目.fcf,
午後,衛宮邸,中庭,イモソロー&レベル>=1,セイバー,17,衛宮邸・3日目.fcf,
午後,衛宮邸,桜の部屋,レベル>=2,桜私服,19,衛宮邸・3日目.fcf
午後,衛宮邸,ライダーの部屋,,,20,衛宮邸・3日目.fcf,
午後,衛宮邸,土蔵,メドゥーサ１&レベル>=5&タッパー,ライダー,22,衛宮邸・3日目.fcf,
午後,衛宮邸,空室,,,21,衛宮邸・3日目.fcf,!凛帰国
午後,衛宮邸,凛の部屋,,,21,衛宮邸・3日目.fcf,凛帰国
午後,衛宮邸,,,夜へ,0,衛宮邸・夜開始.fcf,
午後,衛宮邸,,,次の日へ,0,衛宮邸・4日目.fcf,
午後,冬木市,教会,!夜の聖杯戦争３,!?,22,街編・3日目.fcf,
午後,冬木市,幽霊洋館(姉),双子館&!双子館の殺人,!?,23,街編・3日目.fcf,双子館
午後,冬木市,郊外,,,3,街編・3日目.fcf
午後,冬木市,商店街,レベル>=3,氷室私服,16,街編・3日目.fcf,
午後,冬木市,港,!天の杯|夜の聖杯戦争クリア,ランサー/4,20,街編・3日目.fcf,
午後,冬木市,遠坂邸,凛帰国&レベル>=4,凛私服,17,街編・3日目.fcf,
午後,冬木市,間桐邸,,,18,街編・3日目.fcf,
午後,冬木市,大橋,,美綴私服,19,街編・3日目.fcf,
午後,冬木市,駅前,,,42,街編・3日目.fcf,
午後,冬木市,駅前,レベル>=2,蒔寺私服,44,街編・3日目.fcf,
午後,冬木市,衛宮邸,,,衛宮邸,,
午後,冬木市,柳洞寺,,,柳洞寺,,
午後,冬木市,学校,,,学校,,
午後,冬木市,渡る,,scroll,,,
午後,冬木市,,,夜へ,0,衛宮邸・夜開始.fcf,
午後,冬木市,,,次の日へ,0,衛宮邸・4日目.fcf,
午後,学校,屋上,,,33,学校・3日目.fcf,
午後,学校,生徒会室,,,35,学校・3日目.fcf,
午後,学校,校庭,レベル>=3,ライダー,36,学校・3日目.fcf,
午後,学校,弓道場,,,37,学校・3日目.fcf,
午後,学校,戻る,,,冬木市,,
午後,学校,三年廊下,レベル>=1,?,11,学校・3日目.fcf
午後,学校,,,夜へ,0,衛宮邸・夜開始.fcf
午後,学校,,,次の日へ,0,衛宮邸・4日目.fcf
午後,柳洞寺,戻る,,,冬木市,
午後,柳洞寺,堂内,,,15,柳洞寺・3日目.fcf
午後,柳洞寺,山門,レベル>=3,小次郎,16,柳洞寺・3日目.fcf
午後,柳洞寺,,,夜へ,0,衛宮邸・夜開始.fcf
午後,柳洞寺,,,次の日へ,0,衛宮邸・4日目.fcf
