午後,衛宮邸,外へ,,,冬木市,
午後,衛宮邸,自室,凛帰国&レベル>=4,凛私服,15,衛宮邸・4日目.fcf
午後,衛宮邸,居間,レベル>=2,桜私服,35,衛宮邸・4日目.fcf
午後,衛宮邸,居間,和食精進&新妻物語&レベル>=5,キャスター,41,衛宮邸・4日目.fcf
午後,衛宮邸,中庭,,,17,衛宮邸・4日目.fcf
午後,衛宮邸,セイバーの部屋,,,18,衛宮邸・4日目.fcf
午後,衛宮邸,桜の部屋,,,19,衛宮邸・4日目.fcf,
午後,衛宮邸,ライダーの部屋,レベル>=3,ライダー,20,衛宮邸・4日目.fcf
午後,衛宮邸,土蔵,,,22,衛宮邸・4日目.fcf
午後,衛宮邸,空室,,,21,衛宮邸・4日目.fcf,!凛帰国
午後,衛宮邸,凛の部屋,,,21,衛宮邸・4日目.fcf,凛帰国
午後,衛宮邸,,,夜へ,0,衛宮邸・夜開始.fcf
午後,冬木市,幽霊洋館(姉),双子館&!双子館の殺人,!?,23,街編・4日目.fcf,双子館
午後,冬木市,郊外,,,3,街編・4日目.fcf
午後,冬木市,商店街,レベル>=2,キャスター,16,街編・4日目.fcf
午後,冬木市,港,!天の杯|夜の聖杯戦争クリア,ランサー/4,20,街編・4日目.fcf
午後,冬木市,遠坂邸,凛帰国&レベル>=4,凛私服,17,街編・4日目.fcf
午後,冬木市,間桐邸,,,18,街編・4日目.fcf
午後,冬木市,大橋,ニューマスター&カレン２&レベル>=5&(!天の杯|夜の聖杯戦争クリア),ランサー,19,街編・4日目.fcf
午後,冬木市,駅前,凛帰国&レベル>=5,凛私服,21,街編・4日目.fcf
午後,冬木市,教会,,,99,街編・4日目.fcf
午後,冬木市,衛宮邸,,,衛宮邸,
午後,冬木市,柳洞寺,,,柳洞寺,
午後,冬木市,学校,,,学校,
午後,冬木市,渡る,,scroll,,
午後,冬木市,,,夜へ,0,衛宮邸・夜開始.fcf
午後,学校,生徒会室,レベル>=4&合宿２,!一成制服,7,学校・4日目.fcf
午後,学校,三年廊下,レベル>=3&ぺたぺた１,!?,1,学校・4日目.fcf
午後,学校,屋上,,,33,学校・4日目.fcf
午後,学校,生徒会室,!合宿２,一成制服,6,学校・4日目.fcf
午後,学校,校庭,,,36,学校・4日目.fcf
午後,学校,弓道場,,,37,学校・4日目.fcf
午後,学校,戻る,,,冬木市,
午後,学校,三年廊下,,?,11,学校・4日目.fcf
午後,学校,,,夜へ,0,衛宮邸・夜開始.fcf
午後,柳洞寺,裏の林,金ぴか子供&謎の絵札,!?,7,柳洞寺・4日目.fcf
午後,柳洞寺,戻る,,,冬木市,
午後,柳洞寺,堂内,,,15,柳洞寺・4日目.fcf
午後,柳洞寺,山門,凛帰国&レベル>=4,凛私服,16,柳洞寺・4日目.fcf
午後,柳洞寺,境内,,?,18,柳洞寺・4日目.fcf
午後,柳洞寺,,,夜へ,0,衛宮邸・夜開始.fcf
