午前,衛宮邸,居間,訪問&レベル>=4&カレン２,!大河,51,衛宮邸・2日目.fcf
午前,衛宮邸,自室,,,1,衛宮邸・2日目.fcf
午前,衛宮邸,玄関,Ｓデート・プール|Ｓデート・学校|欠席デート|桜デート・プール|凛の不調|(史上最悪のモータープール&一日服従権)|(イリヤ就寝&完成)|(水着・セイバー&水着・桜&水着・凛&カルテット),?/5,13,衛宮邸・2日目.fcf
午前,衛宮邸,居間,レベル>=1,セイバー,35,衛宮邸・2日目.fcf
午前,衛宮邸,中庭,,,3,衛宮邸・2日目.fcf
午前,衛宮邸,セイバーの部屋,,,4,衛宮邸・2日目.fcf
午前,衛宮邸,桜の部屋,レベル>=1,桜私服,5,衛宮邸・2日目.fcf
午前,衛宮邸,ライダーの部屋,,,6,衛宮邸・2日目.fcf
午前,衛宮邸,土蔵,,,8,衛宮邸・2日目.fcf
午前,衛宮邸,空室,,,7,衛宮邸・2日目.fcf,!凛帰国
午前,衛宮邸,凛の部屋,,,7,衛宮邸・2日目.fcf,凛帰国
午前,衛宮邸,外へ,,,冬木市,
午前,衛宮邸,,,午後へ,12,衛宮邸・2日目.fcf
午前,衛宮邸,,,次の日へ,0,衛宮邸・3日目.fcf
午前,冬木市,遠坂邸,!凛帰国&レベル>=1,!?,5,街編・2日目.fcf
午前,冬木市,遠坂邸,館掃除リベンジ&レベル>=2&!凛帰国,!?,14,街編・2日目.fcf
午前,冬木市,大橋,レベル>=1&!金ピカ子供,!?,7,街編・2日目.fcf
午前,冬木市,郊外,,,99,街編・2日目.fcf
午前,冬木市,商店街,レベル>=3,ライダー,4,街編・2日目.fcf
午前,冬木市,港,,セイバー,8,街編・2日目.fcf
午前,冬木市,間桐邸,,,6,街編・2日目.fcf
午前,冬木市,駅前,レベル>=2&魔術修得,セイバー,9,街編・2日目.fcf
午前,冬木市,教会,,,22,街編・2日目.fcf,
午前,冬木市,衛宮邸,,,衛宮邸,
午前,冬木市,学校,,,学校,
午前,冬木市,柳洞寺,,,柳洞寺,
午前,冬木市,渡る,,scroll,,
午前,冬木市,,,午後へ,13,街編・2日目.fcf
午前,冬木市,,,次の日へ,0,衛宮邸・3日目.fcf
午前,学校,三年廊下,,!蒔寺制服,23,学校・2日目.fcf
午前,学校,生徒会室,,,24,学校・2日目.fcf
午前,学校,弓道場,,,25,学校・2日目.fcf
午前,学校,校庭,,,26,学校・2日目.fcf
午前,学校,屋上,,,14,学校・2日目.fcf
午後,学校,戻る,,,冬木市,
午前,学校,,,午後へ,30,学校・2日目.fcf
午前,学校,,,次の日へ,0,衛宮邸・3日目.fcf
午前,柳洞寺,裏の林,森の幽霊&レベル>=3,!リズ,4,柳洞寺・2日目.fcf
午前,柳洞寺,境内,,,2,柳洞寺・2日目.fcf
午前,柳洞寺,堂内,レベル>=2,キャスター,3,柳洞寺・2日目.fcf
午前,柳洞寺,山門,,,11,柳洞寺・2日目.fcf
午後,柳洞寺,戻る,,,冬木市,
午前,柳洞寺,,,午後へ,5,柳洞寺・2日目.fcf
午前,柳洞寺,,,次の日へ,0,衛宮邸・3日目.fcf
